"name","ID","CD34High_vs_CD34Low_p.adj","CD34High_vs_CD34Neg_p.adj","CD34Low_vs_CD34Neg_p.adj","CD34High_vs_CD34Low_significant","CD34High_vs_CD34Neg_significant","CD34Low_vs_CD34Neg_significant","significant","CD34High_vs_CD34Low_ratio","CD34High_vs_CD34Neg_ratio","CD34Low_vs_CD34Neg_ratio","CD34High_centered","CD34Low_centered","CD34Neg_centered"
"FLNC","Q14315","9.37e-01","7.50e-01","7.66e-01",FALSE,FALSE,FALSE,FALSE,-0.476,-3.85,-3.38,-1.44,-0.967,2.41
"FMOD","Q06828","9.26e-01","4.10e-01","5.17e-01",FALSE,FALSE,FALSE,FALSE,0.568,4.33,3.76,1.63,1.06,-2.7
"FN1","P02751","9.49e-01","7.44e-01","6.34e-01",FALSE,FALSE,FALSE,FALSE,0.143,-2.95,-3.09,-0.935,-1.08,2.01
"FNTA","P49354","6.29e-01","9.68e-01","8.52e-01",FALSE,FALSE,FALSE,FALSE,-1.13,-0.104,1.03,-0.411,0.719,-0.307
"FRAS1","Q86XX4","9.01e-01","7.86e-01","5.01e-01",FALSE,FALSE,FALSE,FALSE,-0.454,1.61,2.07,0.386,0.84,-1.23
"FSCN1","Q16658","8.24e-01","9.70e-01","9.02e-01",FALSE,FALSE,FALSE,FALSE,-2.01,0.191,2.2,-0.605,1.4,-0.796
"FST","P19883","8.97e-01","9.68e-01","9.47e-01",FALSE,FALSE,FALSE,FALSE,-0.599,-0.166,0.433,-0.255,0.344,-0.0889
"FSTL1","Q12841","9.47e-01","8.39e-01","8.18e-01",FALSE,FALSE,FALSE,FALSE,0.166,2.27,2.11,0.813,0.648,-1.46
"FUCA2","Q9BTY2","9.42e-01","8.99e-01","8.27e-01",FALSE,FALSE,FALSE,FALSE,-0.319,2.18,2.5,0.622,0.941,-1.56
"G6PD","P11413","8.49e-01","9.52e-01","9.57e-01",FALSE,FALSE,FALSE,FALSE,-0.841,-0.716,0.125,-0.519,0.322,0.197
"GAA","P10253","9.23e-01","9.23e-01","8.36e-01",FALSE,FALSE,FALSE,FALSE,-0.485,1.39,1.87,0.301,0.785,-1.09
"GALC","P54803","8.74e-01","9.38e-01","8.17e-01",FALSE,FALSE,FALSE,FALSE,-0.689,0.941,1.63,0.0841,0.773,-0.857
"GALNT10","Q86SR1","8.08e-01","9.71e-01","9.04e-01",FALSE,FALSE,FALSE,FALSE,-1.15,-0.0372,1.12,-0.397,0.756,-0.36
"GALNT2","Q10471","8.49e-01","9.58e-01","8.73e-01",FALSE,FALSE,FALSE,FALSE,-1.17,0.755,1.93,-0.139,1.03,-0.894
"GANAB","Q14697","9.52e-01","9.69e-01","9.58e-01",FALSE,FALSE,FALSE,FALSE,-0.0431,-0.11,-0.0669,-0.051,-0.00794,0.0589
"GAPDH","P04406","9.54e-01","9.51e-01","9.32e-01",FALSE,FALSE,FALSE,FALSE,-0.00135,-0.534,-0.533,-0.178,-0.177,0.356
"GARS","P41250","8.50e-01","9.25e-01","9.51e-01",FALSE,FALSE,FALSE,FALSE,-0.886,-1.25,-0.361,-0.711,0.175,0.536
"GART","P22102","9.48e-01","9.65e-01","9.48e-01",FALSE,FALSE,FALSE,FALSE,-0.124,0.302,0.426,0.059,0.184,-0.243
"GAS6","Q14393","9.48e-01","9.35e-01","9.01e-01",FALSE,FALSE,FALSE,FALSE,-0.162,1.46,1.62,0.433,0.595,-1.03
"GBA","P04062","8.91e-01","9.70e-01","9.42e-01",FALSE,FALSE,FALSE,FALSE,-0.968,-0.139,0.828,-0.369,0.599,-0.23
"GBE1","Q04446","8.36e-01","9.61e-01","9.45e-01",FALSE,FALSE,FALSE,FALSE,-1.02,-0.485,0.538,-0.503,0.52,-0.0177
